# route_id: 20260813T134501
# route_name_tc: 台北 - 市中心
# route_name_eng: Taipei - City Center
latitude,longitude,name_tc,name_en
25.0413000,121.5653000,捷運市政府站3號出口,MRT Taipei City Hall Station Exit 3
25.0421000,121.5562000,國父紀念館站5號出口,MRT Sun Yat-sen Memorial Hall Station Exit 5
25.0424367,121.5595066,臺北大巨蛋(忠孝東路側門廣場),Taipei Dome (Zhongxiao E. Rd. Plaza)
25.0416000,121.5435000,忠孝復興路口(遠東SOGO),Zhongxiao Fuxing Intersection (SOGO)
25.0428000,121.5325000,捷運忠孝新生站3號出口,MRT Zhongxiao Xinsheng Station Exit 3
25.0441000,121.5249000,善導寺(忠孝林森路口),Shandao Temple (Zhongxiao & Linsen Intersection)
25.0474428,121.5170955,台北車站(站前廣場),Taipei Main Station (Front Plaza)
25.0429000,121.5132000,臺灣總督府交通局鐵道部(北門),Railway Department Park (Beimen)
25.0401000,121.5119000,西門町中華路人行道(向南),Zhonghua Rd. Sidewalk (Southbound)
25.0355020,121.5201832,國立中正紀念堂(民主廣場),National Chiang Kai-shek Memorial Hall
25.0327000,121.5273000,捷運東門站(永康商圈入口),MRT Dongmen Station (Yongkang St. Entrance)
25.0333333,121.5358333,捷運大安森林公園站,MRT Daan Park Station
25.0331000,121.5433000,捷運大安站(信義復興路口),MRT Daan Station (Xinyi & Fuxing Intersection)
25.0332000,121.5493000,捷運信義安和站,MRT Xinyi Anhe Station
25.0336752,121.5648831,台北101觀景台(信義路售樓大廳),Taipei 101 Observatory
