# version: 1
# route_name: 港島 - 深水灣淺水灣赤柱石澳
latitude,longitude,name_tc,name_en
22.24563,114.17756,香島道（香港鄉村俱樂部）,Island Road (Hong Kong Country Club)
22.24278,114.18349,香島道（深水灣泳灘）,Island Road (Deep Water Bay Beach)
22.23938,114.1878,香島道 / 淺水灣道迴旋處,Island Road / Repulse Bay Road Roundabout
22.23724,114.1925,淺水灣道（麗景道）,Repulse Bay Road (Belleview Drive)
22.23351,114.19731,淺水灣道（淺水灣泳灘）,Repulse Bay Road (Repulse Bay Beach)
22.22765,114.20092,淺水灣道（南灣道交界）,Repulse Bay Road (South Bay Road Junction)
22.22532,114.20431,淺水灣道 / 赤柱峽道交界,Repulse Bay Road / Stanley Gap Road Junction
22.22295,114.20845,赤柱峽道（舂坎角道）,Stanley Gap Road (Chung Hom Kok Road)
22.22012,114.21443,赤柱峽道（中段）,Stanley Gap Road (Central Section)
22.22461,114.21855,赤柱峽道 / 大潭道迴旋處,Stanley Gap Road / Tai Tam Road Roundabout
22.22883,114.22384,大潭道（紅山半島）,Tai Tam Road (Red Hill Peninsula)
22.23652,114.22441,大潭道（大潭篤水塘主壩前）,Tai Tam Road (Tai Tam Tuk Reservoir Dam)
22.24132,114.22638,大潭道（大潭篤水塘主壩路段）,Tai Tam Tuk Reservoir Dam Crossing
22.24976,114.23348,大潭道（爛泥灣）,Tai Tam Road (Lan Nai Wan)
22.25414,114.23758,大潭道 / 石澳道交界,Tai Tam Road / Shek O Road Junction
22.24436,114.23999,石澳道（鶴咀道交界）,Shek O Road (Cape D'Aguilar Road)
22.23841,114.24278,石澳道（龍脊行山徑起點）,Shek O Road (Dragon's Back Trailhead)
22.22987,114.24718,石澳道（土地灣段）,Shek O Road (Windy Gap)
22.22818,114.25301,石澳道 / 大浪灣道交界,Shek O Road / Big Wave Bay Road Junction
22.23055,114.2559,石澳道（進入石澳村）,Shek O Road (Shek O Village)
22.22944,114.25736,石澳泳灘,Shek O Beach
