# route_id: 20260813T134502
# route_name_tc: 首爾
# route_name_eng: Seoul
latitude,longitude,name_tc,name_en
37.5571210,126.9244660,捷運弘大入口站9號出口,MRT Hongik Univ. Station Exit 9
37.5524560,126.9213450,弘大步行街街頭藝人表演區,Hongdae Walking Street Busking Zone
37.5594320,126.9256540,捷運弘大入口站3號出口,MRT Hongik Univ. Station Exit 3
37.5615430,126.9248760,京義線林蔭公園中央草皮區,Gyeongui Line Forest Park Central Lawn
37.5562000,126.9371000,新村梨大商圈人行道,Sinchon Shopping Street Sidewalk
37.5564000,126.9451000,捷運梨大站大門街,MRT Ewha Womans Univ. Station Main Street
37.5658000,126.9664000,西大門獨立公園廣場,Seodaemun Independence Park Plaza
37.5694000,126.9712000,敦義門博物館村,Donuimun Museum Village
37.5721000,126.9760000,光化門廣場世宗大王像,Gwanghwamun Square King Sejong Statue
37.5624530,126.9845430,明洞劇場前方行人廣場,Myeongdong Theater Pedestrian Square
37.5641120,126.9871230,明洞聖堂前廣場步道,Myeongdong Cathedral Front Walkway
37.5678900,126.9841100,清溪川廣橋下水岸步道入口,Cheonggyecheon Gwanggyo Waterfront Entrance
37.5714320,126.9875430,捷運鐘路三街站14號出口,MRT Jongno 3-ga Station Exit 14
37.5743210,126.9891230,益善洞韓屋村核心文創巷弄,Ikseon-dong Hanok Village Creative Alley
37.5755100,126.9880500,鐘路三街站4號出口,MRT Jongno 3-ga Station Exit 4
