# hki_north_shore_arterial
# route_name: 港島 - 天后至堅尼地城
latitude,longitude,name_tc,name_en
22.282430,114.191630,高士威道起點（天后港鐵站B出口/英皇道銜接點）,Causeway Road Start (Tin Hau MTR / King's Road)
22.281850,114.189500,高士威道（中央圖書館旁弧線路型）,Causeway Road (HK Central Library Curve)
22.280900,114.187200,高士威道（維多利亞公園南側彎道）,Causeway Road (Victoria Park South Curve)
22.280150,114.185250,高士威道終點（銅鑼灣道交界/銜接怡和街）,Causeway Road End (Junction to Yee Wo Street)
22.279850,114.184000,怡和街（百德新街交界圓形天橋下）,Yee Wo Street (Sugar Street Pedestrian Bridge)
22.279810,114.182410,軒尼詩道起點（崇光百貨/港鐵銅鑼灣站）,Hennessy Road Start (SOGO / Causeway Bay MTR)
22.277910,114.177210,軒尼詩道（波斯富街交界大路口）,Hennessy Road (Percival Street Junction)
22.276800,114.174500,軒尼詩道（堅拿道東/鵝頸橋底）,Hennessy Road (Canal Road East / Canal Road Flyover)
22.275980,114.172240,軒尼詩道（菲林明道交界/港鐵灣仔站）,Hennessy Road (Fleming Road Junction / Wan Chai MTR)
22.276400,114.169200,軒尼詩道（盧押道交界/電腦城）,Hennessy Road (Luard Road Junction)
22.277150,114.166410,軒尼詩道終點（軍器廠街交界/晏頓街）,Hennessy Road End (Arsenal Street Junction)
22.277800,114.165200,金鐘道起點（正義道交界斜道）,Queensway Start (Justice Drive Junction)
22.278380,114.164340,金鐘道（太古廣場外/港鐵金鐘站）,Queensway (Pacific Place / Admiralty MTR)
22.279100,114.162200,金鐘道（紅棉路交界Ｓ型彎道）,Queensway (Cotton Tree Drive Curve)
22.279610,114.160410,金鐘道終點（長江集團中心/銜接皇后大道中）,Queensway End (Cheung Kong Center)
22.280400,114.159000,皇后大道中（畢打街交界/中建大廈）,Queen's Road Central (Pedder Street Junction)
22.281140,114.157320,皇后大道中（德己立街交界/港鐵中環站）,Queen's Road Central (D'Aguilar Street / Central MTR)
22.282500,114.154500,皇后大道中（租庇利街交界/中環街市）,Queen's Road Central (Zuilig Street / Central Market)
22.283450,114.152430,皇后大道中（文咸東街交界/港鐵上環站）,Queen's Road Central (Bonham Strand / Sheung Wan MTR)
22.284750,114.148560,皇后大道中終點（水坑口街/銜接皇后大道西）,Queen's Road Central End (Possession Street)
22.285200,114.146500,皇后大道西（荷李活道交界小彎道）,Queen's Road West (Hollywood Road Curve)
22.285600,114.144500,皇后大道西（修打蘭街交界）,Queen's Road West (Sutherland Street Junction)
22.285880,114.142560,皇后大道西（正街交界/港鐵西營盤站）,Queen's Road West (Centre Street / Sai Ying Pun MTR)
22.286100,114.139500,皇后大道西（西邊街交界）,Queen's Road West (Western Street Junction)
22.286310,114.136210,皇后大道西（水街交界/港鐵香港大學站）,Queen's Road West (Water Street / HKU MTR)
22.285600,114.133500,皇后大道西（山道天橋下大彎道）,Queen's Road West (Hill Road Flyover Curve)
22.285220,114.131550,皇后大道西終點（德輔道西交界/銜接卑路乍街）,Queen's Road West End (Des Voeux Road West)
22.284900,114.129800,卑路乍街起點（皇后大道西過渡段）,Belcher's Street Start (Transition Section)
22.284610,114.127500,卑路乍街（士美菲路交界/港鐵堅尼地城站）,Belcher's Street (Smithfield Junction / Kennedy Town MTR)
22.283800,114.124500,卑路乍街（北街交界）,Belcher's Street (North Street Junction)
22.283150,114.121400,卑路乍街終點（域多利道交界/堅尼地城巴士總站）,Belcher's Street End (Victoria Road / Bus Terminus)
