# route_id: 20260613T150000
# route_name: 九龍幹線
latitude,longitude,name_tc,name_en
22.296610,114.172050,彌敦道起點（梳士巴利道交界/半島酒店）,Nathan Road Start (Salisbury Road / Peninsula Hotel)
22.297450,114.172150,彌敦道（中間道交界/九龍酒店）,Nathan Road (Middle Road Junction / Kowloon Hotel)
22.298750,114.172280,彌敦道（海防道交界/港鐵尖沙咀站A1）,Nathan Road (Haiphong Road / TST MTR Exit A1)
22.300300,114.172050,彌敦道（金巴利道交界/美麗華廣場）,Nathan Road (Kimberley Road / Mira Place)
22.302060,114.171780,彌敦道（柯士甸道交界/九龍公園端）,Nathan Road (Austin Road Junction / Kowloon Park)
22.303350,114.171600,彌敦道（寶靈街交界/港鐵佐敦站D）,Nathan Road (Bowring Street / Jordan MTR Exit D)
22.304720,114.171440,彌敦道（佐敦道交界大十字路口）,Nathan Road (Jordan Road Junction)
22.306800,114.171100,彌敦道（北海街交界/逸東酒店）,Nathan Road (Pak Hoi Street / Eaton HK)
22.309320,114.170660,彌敦道（加士居道天橋下/甘肅街）,Nathan Road (under Gascoigne Road Flyover)
22.311100,114.170350,彌敦道（眾坊街交界/港鐵油麻地站C）,Nathan Road (Public Square Street / Yau Ma Tei MTR)
22.312990,114.170060,彌敦道（窩打老道交界大路口）,Nathan Road (Waterloo Road Junction)
22.315500,114.169650,彌敦道（咸美頓街交界/九龍行）,Nathan Road (Hamilton Street Junction)
22.317200,114.169350,彌敦道（山東街交界/雅蘭中心）,Nathan Road (Shantung Street / Grand Plaza)
22.318850,114.169120,彌敦道（亞皆老街交界核心路口）,Nathan Road (Argyle Street Junction)
22.320500,114.168850,彌敦道（快富街交界/港鐵旺角站A2）,Nathan Road (Fife Street / Mong Kok MTR Exit A2)
22.322400,114.168550,彌敦道（弼街交界/始創中心）,Nathan Road (Bute Street / Pioneer Centre)
22.324150,114.168280,彌敦道（太子道西交界/港鐵太子站）,Nathan Road (Prince Edward Road West Junction)
22.325300,114.168050,彌敦道（運動場道交界）,Nathan Road (Playing Field Road Junction)
22.326200,114.167880,彌敦道終點（界限街交界大路口）,Nathan Road End (Boundary Street Junction)
22.327000,114.167350,長沙灣道起點（白楊街過渡段）,Cheung Sha Wan Road Start (Poplar Street Section)
22.327500,114.166600,長沙灣道（大埔道/楓樹街交界彎道）,Cheung Sha Wan Road (Tai Po Road / Maple Street)
22.328800,114.164600,長沙灣道（黃竹街交界/深水埗警署旁）,Cheung Sha Wan Road (Wong Chuk Street Junction)
22.330050,114.162750,長沙灣道（欽州街交界/港鐵深水埗站）,Cheung Sha Wan Road (Yen Chow Street / Sham Shui Po MTR)
22.331500,114.160700,長沙灣道（營盤街交界）,Cheung Sha Wan Road (Ying Pun Street Junction)
22.333200,114.159300,長沙灣道（東京街交界大路口）,Cheung Sha Wan Road (Tonkin Street Junction)
22.334180,114.158580,長沙灣道（發祥街交界/港鐵長沙灣站）,Cheung Sha Wan Road (Fat Tseung Street / Cheung Sha Wan MTR)
22.335600,114.156500,長沙灣道（興華街交界）,Cheung Sha Wan Road (Hing Wah Street Junction)
22.336800,114.153900,長沙灣道（大南西街交界/長沙灣廣場東）,Cheung Sha Wan Road (Tai Nan West Street)
22.337580,114.151810,長沙灣道（長沙灣廣場/港鐵荔枝角站A）,Cheung Sha Wan Road (Cheung Sha Wan Plaza / Lai Chi Kok MTR)
22.338400,114.149500,長沙灣道（長茂街交界/美孚過渡段）,Cheung Sha Wan Road (Cheung Mau Street)
22.338900,114.147740,長沙灣道終點（美孚交匯處/荔枝角公園前）,Cheung Sha Wan Road End (Meifoo Interchange)
