# route_name: 離島 - 南丫島
latitude,longitude,name_tc,name_en
22.226080,114.111180,榕樹灣渡輪碼頭（起點）,Yung Shue Wan Ferry Pier (Start)
22.225520,114.111850,榕樹灣大街（主要商店街段）,Yung Shue Wan Main Street
22.223200,114.114100,榕樹灣大街 / 亞婆塱村過渡段,Yung Shue Wan Main Street / Yung Shue Long
22.221200,114.115800,南丫島家樂徑（分岔路口往洪聖爺灣）,Lamma Island Family Walk (Junction to Hung Shing Yeh)
22.219800,114.114100,家樂徑（經過南丫發電廠觀景點附近）,Family Walk (near Lamma Power Station Viewpoint)
22.217500,114.113200,洪聖爺灣泳灘（沙灘步道段）,Hung Shing Yeh Beach
22.214800,114.115200,家樂徑上坡段（經過濃密植被區）,Family Walk Incline (Dense Vegetation Section)
22.211900,114.118500,南丫島山頂觀景亭（全線最高點/涼亭）,Lamma Island Hilltop Pavilion (Highest Point)
22.208500,114.123200,家樂徑下坡段（遠眺索罟灣與蘆鬚城）,Family Walk Decline (Overlooking Sok Kwu Wan)
22.205800,114.126500,蘆鬚城村分岔路口,Lo So Shing Village Junction
22.204100,114.129800,神風洞（歷史遺蹟點）,Kamikaze Caves (Historical Relic)
22.204300,114.133200,索罟灣天后廟,Sok Kwu Wan Tin Hau Temple
22.204900,114.134500,索罟灣第一街（海鮮街路段）,Sok Kwu Wan First Street (Seafood Street)
22.205820,114.135680,索罟灣渡輪碼頭（終點）,Sok Kwu Wan Ferry Pier (End)
